,SID,PID,LotFrontage,LotArea,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,Exterior1,BsmtFinSF1,BsmtFinSF2,CentralAir,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleCondition,SalePrice,TotalSqftCalc,TotalBathCalc,CornerLotInd,FireplaceInd1,FireplaceInd2,FireplaceAdder1,FireplaceAdder2,CentralAirInd,BrickInd,VinylSidingInd,PoolInd,WoodDeckInd,PorchInd,QualityIndex,I2006,I2007,I2008,I2009,I2010,u,train
0,1,526301100,141,31770,Corner,NAmes,1Story,6,5,1960,1960,BrkFace,639,0,Y,1656,1,0,1,0,3,7,2,2,528,210,62,0,0,0,0,5,2010,Normal,215000,2295,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.7416641893796623,0.0
1,2,526350040,80,11622,Inside,NAmes,1Story,5,6,1961,1961,VinylSd,468,144,Y,896,0,0,1,0,2,5,0,1,730,140,0,0,0,120,0,6,2010,Normal,105000,1508,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.8883323175832629,0.0
2,3,526351010,81,14267,Corner,NAmes,1Story,6,6,1958,1958,Wd Sdng,923,0,Y,1329,0,0,1,1,3,6,0,1,312,393,36,0,0,0,0,6,2010,Normal,172000,2252,1.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.006773986620828509,1.0
3,4,526353030,93,11160,Corner,NAmes,1Story,7,5,1968,1968,BrkFace,1065,0,Y,2110,1,0,2,1,3,8,2,2,522,0,0,0,0,0,0,4,2010,Normal,244000,3175,3.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.23495842702686787,1.0
4,5,527105010,74,13830,Inside,Gilbert,2Story,5,5,1997,1998,VinylSd,791,0,Y,1629,0,0,2,1,3,6,1,2,482,212,34,0,0,0,0,3,2010,Normal,189900,2420,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.5008458599913865,1.0
5,6,527105030,78,9978,Inside,Gilbert,2Story,6,6,1998,1998,VinylSd,602,0,Y,1604,0,0,2,1,3,7,1,2,470,360,36,0,0,0,0,6,2010,Normal,195500,2206,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.582448254339397,1.0
6,10,527162130,60,7500,Inside,Gilbert,2Story,7,5,1999,1999,VinylSd,0,0,Y,1804,0,0,2,1,3,7,1,2,442,140,60,0,0,0,0,6,2010,Normal,189000,1804,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.4042096952907741,1.0
7,11,527163010,75,10000,Corner,Gilbert,2Story,6,5,1993,1994,HdBoard,0,0,Y,1655,0,0,2,1,3,7,1,2,440,157,84,0,0,0,0,4,2010,Normal,175900,1655,2.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.004705441650003195,1.0
8,13,527166040,63,8402,Inside,Gilbert,2Story,6,5,1998,1998,VinylSd,0,0,Y,1465,0,0,2,1,3,7,1,2,393,0,75,0,0,0,0,5,2010,Normal,180400,1465,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.3631222154945135,1.0
9,14,527180040,85,10176,Inside,Gilbert,1Story,7,5,1990,1990,HdBoard,637,0,Y,1341,1,0,1,1,2,5,1,2,506,192,0,0,0,0,0,2,2010,Normal,171500,1978,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.43272327934391797,1.0
